x,y,range,pos_x,pos_y,lat,lon
2481,1280,14,6.524080276489258,-14.14107608795166,-22.91711299261889,-43.16675178702072
747,1422,11,9.49221134185791,-6.98717737197876,-22.91714620061917,-43.16683182616501
2482,1378,12,5.409998893737793,-11.734658241271973,-22.91710052806997,-43.16677871046944
2070,1204,17,9.415501594543455,-15.447965621948242,-22.91714534237631,-43.16673716529848
2843,1431,11,4.0397796630859375,-11.52504539489746,-22.917085197803345,-43.166781055656806
1791,1398,11,7.0918378829956055,-9.754150390625,-22.917119344796184,-43.166800868758216
2685,1616,8,3.4306347370147705,-8.643266677856445,-22.917078382577053,-43.16681329753101
617,1561,9,8.008651733398438,-5.452178478240967,-22.91712960227941,-43.166849000017024
1950,1141,21,11.760315895080566,-17.86831283569336,-22.91717157659314,-43.16671008600542
1131,1452,11,8.1315336227417,-7.519001483917236,-22.91713097710475,-43.16682587601831
760,1251,15,13.10306453704834,-9.720381736755373,-22.91718659951373,-43.16680124656818
1387,1499,10,6.993967533111572,-7.529306411743164,-22.917118249804577,-43.16682576072486
386,1465,10,9.7161283493042,-5.744235515594482,-22.91714870584414,-43.16684573242878
729,1361,12,10.587237358093262,-7.709710121154785,-22.91715845197313,-43.16682374233474
1848,856,144,83.56459045410156,-119.079833984375,-22.917974936120544,-43.165577712754704
2647,1217,17,6.87325382232666,-16.824989318847656,-22.91711689923721,-43.16672175890223
1980,1054,28,15.675179481506348,-24.27465438842773,-22.91721537681228,-43.16663841066919
66,1026,32,31.21817779541016,-15.067827224731444,-22.917389274757166,-43.1667414183573
202,759,4925,4643.6787109375,-2446.296630859375,-22.9689943377818,-43.13954038005304
1712,1247,16,9.810447692871094,-12.852287292480469,-22.91714976110644,-43.16676620622855
485,1264,15,13.648515701293944,-8.575687408447266,-22.917192702122414,-43.166814053620406
150,1301,14,13.660930633544922,-6.961555004119873,-22.91719284102297,-43.16683211283281
1831,939,53,31.058311462402344,-43.79179763793945,-22.917387486143014,-43.16642004925444
1253,981,41,29.259746551513672,-29.084980010986328,-22.91736736346556,-43.16658459185488
1594,970,43,27.656219482421875,-33.71735000610352,-22.917349422907613,-43.16653276404111
1752,1015,34,20.40312957763672,-27.394683837890625,-22.917268273993933,-43.16660350320164
355,960,46,41.82085037231445,-24.25406074523925,-22.91750789942238,-43.16663864107468
2677,1209,17,6.890074729919434,-17.25358772277832,-22.917117087432647,-43.16671696366388
582,970,43,37.27553176879883,-24.845184326171875,-22.917457045555704,-43.166632027474535
133,898,76,73.20208740234375,-36.89828872680664,-22.917858998516472,-43.16649717510935
1948,1606,8,4.934792995452881,-7.488298416137695,-22.91709521137833,-43.16682621952992
786,1018,33,27.39106559753418,-20.63783264160156,-22.91734645631682,-43.1666791001047
1993,1457,10,5.9525465965271,-9.294854164123535,-22.917106598194188,-43.166806007449495
2057,1442,11,5.931973934173584,-9.651127815246582,-22.91710636802343,-43.16680202139388
2859,986,38,13.610568046569824,-39.3388786315918,-22.91719227755702,-43.166469869337305
2468,908,67,29.77893829345703,-63.95125961303711,-22.91737317227896,-43.1661945014588
2058,1600,8,4.751401901245117,-7.735367298126221,-22.9170931595648,-43.16682345527749
